"subject_ID","p_cor_sex","p_cor_lang","p_cor_age","time_mins","fin_consent_mins","consent_to_fin_mins","max_RT_exp_trials","childcare","caregiver","age","gender","gender_text","country","country_text","hearing","eng_first","know_corp_lang","monolingual","n_attention_checks","n_audio_checks","var_sex","var_lang","var_age"
"2645shlmrc1v7qq",0.5,0.666666666666667,0.583333333333333,8.3662,0.3465,8.0197,17008.0099999905,2,0,19,"Male","Male","Canada","","Yes","Yes","None","Yes",4,6,0.266666666666667,0.272727272727273,0.696969696969697
"292c90eqwejt6jr",0.5,0.5,0.583333333333333,16.7401,1.17086666666667,15.5692333333333,35250,60,0,18,"Female","","Canada","","Yes","Yes","None","Yes",5,3,0.266666666666667,0.242424242424242,0.515151515151515
"29veoxpj1wdr9oh",0.6,0.416666666666667,0.583333333333333,11.9725,0.09805,11.87445,29357.2,24,0,18,"Male","","Canada","","Yes","Yes","None","Yes",2,2,0.277777777777778,0.265151515151515,0.727272727272727
"2btj1n1et33783q",0.5,0.583333333333333,0.583333333333333,9.31743333333333,0.8058,8.51163333333333,28518.3599999873,0,0,19,"Male","","Canada","","Yes","Yes","None","No",1,1,0.266666666666667,0.265151515151515,0.568181818181818
"2c86rt2ve9jfp9j",0.6,0.666666666666667,0.583333333333333,9.58368333333333,0.324316666666667,9.25936666666667,28654,1,0,18,"Male","","Canada","","Yes","Yes","None","Yes",1,1,0.233333333333333,0.272727272727273,0.606060606060606
"2dm1yv4vyl5vvd0",0.5,0.583333333333333,0.416666666666667,9.46485,0.5064,8.95845,29584,36,7,18,"Female","","Canada","","Yes","Yes","Spanish","Yes",1,1,0.266666666666667,0.265151515151515,0.606060606060606
"2jnjb4fqh5atapt",0.6,0.5,0.583333333333333,9.04428333333333,0.09775,8.94653333333333,65639,0,0,19,"Male","male","Canada","Canada","Yes","Yes","None","No",1,2,0.277777777777778,0.242424242424242,0.446969696969697
"2nb7cobd2809rls",0.3,0.166666666666667,0.333333333333333,13.6767666666667,0.15725,13.5195166666667,33777.1,0,0,20,"Female","","Canada","","Yes","Yes","None","Yes",2,1,0.266666666666667,0.272727272727273,0.446969696969697
"2o6o0xhad1n7v1c",0.6,0.583333333333333,0.5,22.8008833333333,3.88195,18.9189333333333,59346.3300000294,12,0,19,"Female","","Canada","","Yes","Yes","None","Yes",1,2,0.233333333333333,0.265151515151515,0.446969696969697
"2q138q4el7lxv3j",0.2,0.583333333333333,0.5,13.1389,2.55705,10.58185,25950.3049999985,0,0,18,"Female","","Canada","","Yes","Yes","None","No",2,1,0.277777777777778,0.265151515151515,0.810606060606061
"2sln31xjeuu5ecr",0.5,0.75,0.416666666666667,14.39915,0.257816666666667,14.1413333333333,31914,0,0,30,"Female","","Canada","","Yes","Yes","None","Yes",2,1,0.266666666666667,0.265151515151515,0.454545454545455
"2tj1yxuq2lpg99l",0.3,0.583333333333333,0.583333333333333,9.48378333333333,0.38585,9.09793333333333,19302,9,0,18,"Female","female","Canada","canada","Yes","Yes","None","No",1,1,0.266666666666667,0.265151515151515,0.446969696969697
"2tr8yfpzv7pzma0",0.5,0.333333333333333,0.25,45.90045,0.949033333333333,44.9514166666667,144585,0,0,25,"Male","","Canada","","Yes","Yes","None","Yes",44,2,0.266666666666667,0.242424242424242,0.515151515151515
"2usrz3nb60aaepe",0.5,0.416666666666667,0.5,11.7577666666667,0.195683333333333,11.5620833333333,29074.1,6,0,18,"Female","","Canada","","Yes","Yes","None","No",1,1,0.266666666666667,0.265151515151515,0.628787878787879
"2y6a2c9r118knaw",0.3,0.583333333333333,0.416666666666667,17.8292666666667,0.23725,17.5920166666667,200397.475000005,0,0,19,"Male","","Canada","","Yes","Yes","None","Yes",2,1,0.266666666666667,0.265151515151515,0.568181818181818
"2z22xhwu26ael35",0.7,0.333333333333333,0.666666666666667,14.66555,0.150066666666667,14.5154833333333,23617.0199997723,12,0,18,"Female","","Canada","","Yes","Yes","None","Yes",2,6,0.266666666666667,0.242424242424242,0.606060606060606
"304cqh3tvo9xf9b",0.4,0.75,0.583333333333333,9.03986666666667,0.06115,8.97871666666667,22056,0,0,19,"Female","","Canada","","Yes","Yes","None","No",3,2,0.233333333333333,0.204545454545455,0.515151515151515
"305nyfd79tbgnfr",0.6,0.583333333333333,0.333333333333333,17.3549333333333,4.39583333333333,12.9591,24209.1650000075,0,0,18,"Female","","Canada","","Yes","Yes","None","No",2,1,0.233333333333333,0.265151515151515,0.568181818181818
"308tavq4ry3gvvd",0.5,0.5,0.333333333333333,14.0431166666667,0.8259,13.2172166666667,32195.3,0,0,18,"Female","","Canada","","No","Yes","None","Yes",1,9,0.266666666666667,0.242424242424242,0.810606060606061
"32u8v3uto1f5czx",0.5,0.666666666666667,0.333333333333333,11.0706333333333,0.132166666666667,10.9384666666667,45925,0,0,18,"Female","","Canada","","Yes","Yes","None","Yes",2,2,0.266666666666667,0.272727272727273,0.568181818181818
"33gmfs8oe4kz3oq",0.6,0.5,0.25,13.1926166666667,0.159366666666667,13.03325,32938,0,0,18,"Male","","Canada","","Yes","Yes","None","Yes",1,1,0.233333333333333,0.242424242424242,0.545454545454545
"33u2rd714enqlvp",0.5,0.75,0.5,12.3098333333333,1.1526,11.1572333333333,32378.7800000282,0,0,18,"Female","","Canada","","Yes","Yes","None","No",1,1,0.266666666666667,0.265151515151515,0.628787878787879
"34jl31v95tzfb1t",0.5,0.5,0.416666666666667,10.8357666666667,0.124666666666667,10.7111,38542,0,0,19,"Male","Male","Canada","Canada","Yes","Yes","None","Yes",1,2,0.266666666666667,0.242424242424242,0.446969696969697
"35mpq9lb8sp0toe",0.6,0.416666666666667,0.583333333333333,12.86675,0.74985,12.1169,33394.3700000009,0,0,19,"Male","","Canada","","Yes","Yes","Spanish","Yes",2,1,0.277777777777778,0.265151515151515,0.628787878787879
"3996la41zcnyz3l",0.5,0.5,0.416666666666667,15.95915,3.5183,12.44085,46801.9999999999,0,0,18,"Male","","Canada","","Yes","Yes","None","Yes",1,2,0.266666666666667,0.272727272727273,0.727272727272727
"3de1dljfu66f0mj",0.7,0.5,0.416666666666667,37.7825,0.0911666666666667,37.6913333333333,52732,0,0,18,"Female","","Canada","","Yes","Yes","None","Yes",6,2,0.266666666666667,0.242424242424242,0.446969696969697
"3lbfoovs0vqr4a2",0.5,0.583333333333333,0.5,21.7263166666667,0.10405,21.6222666666667,248674.25,5,0,19,"Female","","USA","","Yes","Yes","Spanish","Yes",1,1,0.266666666666667,0.265151515151515,0.446969696969697
"3mlf1n8o2ru4s2y",0.4,0.5,0.333333333333333,11.34095,0.0643333333333333,11.2766166666667,56776.1700000265,1,0,20,"Female","","Canada","","Yes","Yes","None","No",1,1,0.233333333333333,0.242424242424242,0.810606060606061
"3mpha806un0y27d",0.5,0.25,0.416666666666667,8.92731666666667,0.0804833333333333,8.84683333333333,21984.2750000025,0,0,18,"Male","","Canada","","Yes","Yes","None","Yes",2,1,0.266666666666667,0.265151515151515,0.628787878787879
"3nhrsfhrcupz39n",0.2,0.583333333333333,0.416666666666667,8.45975,0.07755,8.3822,33767.7649999969,0,0,18,"Male","","Canada","","Yes","Yes","None","No",1,11,0.277777777777778,0.204545454545455,0.446969696969697
"3obead222cv0esv",0.3,0.583333333333333,0.5,15.1234333333333,2.2634,12.8600333333333,38916.1,0,24,17,"Female","","Canada","","Yes","Yes","None","Yes",3,1,0.266666666666667,0.265151515151515,0.628787878787879
