"subject_ID","correct","phase","time_ellapsed_mins","childcare","caregiver","age","gender","gender_text","country","country_text","hearing","eng_first","know_corp_lang","monolingual","stim_ageGroup","button_pressed","stim_gender","stim_language","stim_ID","clipID"
"080o97bqlnanxy6",1,"Language",3.85511666666667,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","0","F","English","36Seedlings","0670664846.wav"
"080o97bqlnanxy6",0,"Age",4.02221666666667,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","1","F","English","36Seedlings","0670664846.wav"
"080o97bqlnanxy6",0,"Age",4.1613,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","1","F","Non-English","8179Tseltal","0972726511.wav"
"080o97bqlnanxy6",0,"Age",4.33298333333333,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","1","F","Non-English","36Tsimane","0683718388.wav"
"080o97bqlnanxy6",0,"Age",4.48056666666667,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","2","NA","English","8Seedlings","0428418129.wav"
"080o97bqlnanxy6",0,"Age",4.66655,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","2","M","English","26Seedlings","0589760242.wav"
"080o97bqlnanxy6",0,"Age",4.81611666666667,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","0","M","English","9Seedlings","0180969042.wav"
"080o97bqlnanxy6",1,"Age",4.94196666666667,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","NA","English","4Seedlings","0657024141.wav"
"080o97bqlnanxy6",0,"Age",5.09321666666667,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","1","M","English","11Seedlings","0397365922.wav"
"080o97bqlnanxy6",0,"Age",5.29468333333333,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","1","F","Non-English","F31CasillasYeli","0471452186.wav"
"080o97bqlnanxy6",0,"Age",5.44873333333333,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","M","Non-English","41Tsimane","0353396850.wav"
